Season,Cruise,degree_bin,int.bcd_mean,int.bp_mean,int.NPP_mean,bcd.npp_mean,int.bcd_sd,int.bp_sd,int.NPP_sd,bcd.npp_sd,int.bcd_cruise_mean,int.bp_cruise_mean,int.NPP_cruise_mean,bcd.npp_cruise_mean,int.bcd_cruise_sd,int.bp_cruise_sd,int.NPP_cruise_sd,bcd.npp_cruise_sd
Early Autumn,AT38,42,0.06188934426229508,26.00577868852459,0.11420218579234973,0.5419278434374851,NA,NA,NA,NA,0.10557263393272484,26.641343986621404,0.46135158997626136,0.25122989880788277,0.05416460319405339,6.830591218742326,0.24293775571406048,0.10892481989854341
Early Autumn,AT38,44,0.052144927536231886,32.32997584541062,0.22565821256038646,0.23107923680055664,NA,NA,NA,NA,0.10557263393272484,26.641343986621404,0.46135158997626136,0.25122989880788277,0.05416460319405339,6.830591218742326,0.24293775571406048,0.10892481989854341
Early Autumn,AT38,47,0.02921,15.139125,0.17984125,0.1624210240976417,NA,NA,NA,NA,0.10557263393272484,26.641343986621404,0.46135158997626136,0.25122989880788277,0.05416460319405339,6.830591218742326,0.24293775571406048,0.10892481989854341
Early Autumn,AT38,49,0.04352127659574468,20.39808510638298,0.19213120567375885,0.2265185212528377,NA,NA,NA,NA,0.10557263393272484,26.641343986621404,0.46135158997626136,0.25122989880788277,0.05416460319405339,6.830591218742326,0.24293775571406048,0.10892481989854341
Early Autumn,AT38,52,0.10695541401273885,25.60968152866242,0.41838322717622084,0.2556398226922462,NA,NA,NA,NA,0.10557263393272484,26.641343986621404,0.46135158997626136,0.25122989880788277,0.05416460319405339,6.830591218742326,0.24293775571406048,0.10892481989854341
Early Autumn,AT38,53,0.14459633514216047,28.928689613975802,0.6574419014226932,0.2243237397676572,0.03392539567556315,6.783361079873687,0.0772541598008718,0.06461277815675738,0.10557263393272484,26.641343986621404,0.46135158997626136,0.25122989880788277,0.05416460319405339,6.830591218742326,0.24293775571406048,0.10892481989854341
Early Spring,AT39,39,0.1402694776023617,61.38138653574637,1.0716942519146022,0.1345825903813922,0.04231110305449002,27.868417366649616,0.4052815665665406,0.014749542051625925,0.1135515278312583,44.58696088970179,0.836804586863047,0.14463623112074658,0.0483539939890319,30.385528315231788,0.43383258087588356,0.04176292798461157
Early Spring,AT39,44,0.07347460317460318,19.395322420634923,0.4844700892857143,0.15971669222977813,0.020447732285169083,4.942515056684771,0.10265415680927478,0.0760486879772163,0.1135515278312583,44.58696088970179,0.836804586863047,0.14463623112074658,0.0483539939890319,30.385528315231788,0.43383258087588356,0.04176292798461157
Late Autumn,AT32,40,0.09159183673469387,38.495357142857145,0.25421258503401356,0.36029623286525686,NA,NA,NA,NA,0.07477776813233981,31.448171579344752,0.17885110375066723,0.433032742428515,0.009905065550183558,4.179838762700833,0.04503132788188192,0.08759535305091855
Late Autumn,AT32,43,0.07812621359223301,32.92485436893204,0.1893535598705502,0.4125943744899398,NA,NA,NA,NA,0.07477776813233981,31.448171579344752,0.17885110375066723,0.433032742428515,0.009905065550183558,4.179838762700833,0.04503132788188192,0.08759535305091855
Late Autumn,AT32,44,0.0780388349514563,32.8597572815534,0.1678438511326861,0.4649490250897784,NA,NA,NA,NA,0.07477776813233981,31.448171579344752,0.17885110375066723,0.433032742428515,0.009905065550183558,4.179838762700833,0.04503132788188192,0.08759535305091855
Late Autumn,AT32,46,0.06568253968253969,27.55325396825397,0.17016666666666663,0.38598945944685426,NA,NA,NA,NA,0.07477776813233981,31.448171579344752,0.17885110375066723,0.433032742428515,0.009905065550183558,4.179838762700833,0.04503132788188192,0.08759535305091855
Late Autumn,AT32,51,0.06816949152542372,28.65686440677966,0.11443220338983051,0.5957194697474635,NA,NA,NA,NA,0.07477776813233981,31.448171579344752,0.17885110375066723,0.433032742428515,0.009905065550183558,4.179838762700833,0.04503132788188192,0.08759535305091855
Late Autumn,AT32,54,0.0670576923076923,28.19894230769231,0.1770977564102564,0.3786478929317974,NA,NA,NA,NA,0.07477776813233981,31.448171579344752,0.17885110375066723,0.433032742428515,0.009905065550183558,4.179838762700833,0.04503132788188192,0.08759535305091855
Late Spring,AT34,44,0.5845934065934066,128.65263736263736,0.9913342490842492,0.5897036313770337,NA,NA,NA,NA,0.2991726797957325,72.445863872528,1.315234240561737,0.23764894429992445,0.19370241529758866,43.69268473209529,0.8770403071165267,0.12532101288923467
Late Spring,AT34,48,0.16925024498582295,44.01493165497964,0.8239431519099523,0.1998800653872832,0.07612583859586904,19.80124539134263,0.15921051971033048,0.056415762197760344,0.2991726797957325,72.445863872528,1.315234240561737,0.23764894429992445,0.19370241529758866,43.69268473209529,0.8770403071165267,0.12532101288923467
Late Spring,AT34,50,0.4904230769230769,117.71278846153845,3.3406041666666666,0.1468067009604531,NA,NA,NA,NA,0.2991726797957325,72.445863872528,1.315234240561737,0.23764894429992445,0.19370241529758866,43.69268473209529,0.8770403071165267,0.12532101288923467
Late Spring,AT34,54,0.4482075351213282,107.55399425287357,2.1635183056619836,0.19809732227447646,0.28139689132943424,67.59140253224466,0.9857246134253413,0.039808992918817836,0.2991726797957325,72.445863872528,1.315234240561737,0.23764894429992445,0.19370241529758866,43.69268473209529,0.8770403071165267,0.12532101288923467
Late Spring,AT34,56,0.43388888888888894,99.77243055555556,1.3562337962962963,0.31992189700167095,NA,NA,NA,NA,0.2991726797957325,72.445863872528,1.315234240561737,0.23764894429992445,0.19370241529758866,43.69268473209529,0.8770403071165267,0.12532101288923467
